epoch,lr-AdamW/pg1,lr-AdamW/pg2,step,train_loss_epoch,train_loss_step,train_mae_K_epoch,train_mae_K_step,train_rmse_K_epoch,train_rmse_K_step,val_loss,val_mae_K,val_rmse_K
0,,,504,,0.032771944999694824,,20.098419189453125,,24.702285766601562,,,
,0.0001,0.0001,509,,,,,,,,,
0,,,509,,0.029076676815748215,,19.155630111694336,,23.26797103881836,,,
,0.0001,0.0001,514,,,,,,,,,
0,,,514,,0.06019662320613861,,27.796022415161133,,33.47897720336914,,,
,0.0001,0.0001,519,,,,,,,,,
0,,,519,,0.0741744115948677,,28.806005477905273,,37.1632080078125,,,
,0.0001,0.0001,524,,,,,,,,,
0,,,524,,0.05387447401881218,,28.126537322998047,,31.67215919494629,,,
,0.0001,0.0001,529,,,,,,,,,
0,,,529,,0.050935063511133194,,24.708457946777344,,30.7960147857666,,,
,0.0001,0.0001,534,,,,,,,,,
0,,,534,,0.08914720267057419,,31.808467864990234,,40.74177169799805,,,
,0.0001,0.0001,539,,,,,,,,,
0,,,539,,0.06272955238819122,,28.086349487304688,,34.17607498168945,,,
,0.0001,0.0001,544,,,,,,,,,
0,,,544,,0.055048421025276184,,26.767337799072266,,32.01537322998047,,,
,0.0001,0.0001,549,,,,,,,,,
0,,,549,,0.07015151530504227,,27.4730281829834,,36.14137268066406,,,
,0.0001,0.0001,554,,,,,,,,,
0,,,554,,0.008577113039791584,,9.784747123718262,,12.637371063232422,,,
,0.0001,0.0001,559,,,,,,,,,
0,,,559,,0.021798649802803993,,13.083706855773926,,20.146560668945312,,,
,0.0001,0.0001,564,,,,,,,,,
0,,,564,,0.0811915323138237,,25.278064727783203,,39.17570877075195,,,
,0.0001,0.0001,569,,,,,,,,,
0,,,569,,0.04185212403535843,,21.32440185546875,,27.915468215942383,,,
,0.0001,0.0001,574,,,,,,,,,
0,,,574,,0.016275975853204727,,14.177577018737793,,17.408428192138672,,,
,0.0001,0.0001,579,,,,,,,,,
0,,,579,,0.052518319338560104,,23.65464973449707,,31.270980834960938,,,
,0.0001,0.0001,584,,,,,,,,,
0,,,584,,0.0389566496014595,,21.720836639404297,,26.932514190673828,,,
,0.0001,0.0001,589,,,,,,,,,
0,,,589,,0.11261282116174698,,33.10948944091797,,46.661224365234375,,,
,0.0001,0.0001,594,,,,,,,,,
0,,,594,,0.03187141567468643,,19.84971046447754,,24.36053466796875,,,
,0.0001,0.0001,599,,,,,,,,,
0,,,599,,0.04816801846027374,,21.79346466064453,,29.94783592224121,,,
,0.0001,0.0001,604,,,,,,,,,
0,,,604,,0.04734473675489426,,19.818782806396484,,29.6908016204834,,,
,0.0001,0.0001,609,,,,,,,,,
0,,,609,,0.05671681463718414,,27.21324920654297,,32.49690628051758,,,
,0.0001,0.0001,614,,,,,,,,,
0,,,614,,0.023342827335000038,,16.535202026367188,,20.847919464111328,,,
,0.0001,0.0001,619,,,,,,,,,
0,,,619,,0.06167744845151901,,27.72787857055664,,33.888267517089844,,,
,0.0001,0.0001,624,,,,,,,,,
0,,,624,,0.04687470197677612,,22.468509674072266,,29.543052673339844,,,
,0.0001,0.0001,629,,,,,,,,,
0,,,629,,0.039523690938949585,,21.437122344970703,,27.12782096862793,,,
,0.0001,0.0001,634,,,,,,,,,
0,,,634,,0.05683109164237976,,26.88797378540039,,32.52962875366211,,,
,0.0001,0.0001,639,,,,,,,,,
0,,,639,,0.08182703703641891,,22.477283477783203,,40.32009506225586,,,
,0.0001,0.0001,644,,,,,,,,,
0,,,644,,0.049550849944353104,,22.567628860473633,,30.374675750732422,,,
,0.0001,0.0001,649,,,,,,,,,
0,,,649,,0.051955174654722214,,24.610902786254883,,31.10287094116211,,,
,0.0001,0.0001,654,,,,,,,,,
0,,,654,,0.06467472016811371,,29.62929916381836,,34.70191192626953,,,
,0.0001,0.0001,659,,,,,,,,,
0,,,659,,0.03632619231939316,,20.755826950073242,,26.00734519958496,,,
,0.0001,0.0001,664,,,,,,,,,
0,,,664,,0.01965338923037052,,14.845211029052734,,19.12955093383789,,,
,0.0001,0.0001,669,,,,,,,,,
0,,,669,,0.04247734323143959,,17.787708282470703,,28.123205184936523,,,
,0.0001,0.0001,674,,,,,,,,,
0,,,674,,0.034876689314842224,,20.43386459350586,,25.483186721801758,,,
,0.0001,0.0001,679,,,,,,,,,
